[2026-01-12 17:45:26] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:48:27] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:51:28] temp=16.00°C, ip=10.129.8.25
[2026-01-12 17:54:29] temp=15.00°C, ip=10.129.8.25
[2026-01-12 17:57:27] temp=16.00°C, ip=10.129.29.253
[2026-01-12 17:57:30] temp=16.00°C, ip=10.129.8.25
[2026-01-12 18:00:33] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:03:32] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:06:33] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:09:34] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:12:35] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:15:36] temp=16.00°C, ip=10.129.8.25
[2026-01-12 18:18:37] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:21:38] temp=16.00°C, ip=10.129.8.25
[2026-01-12 18:24:39] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:27:40] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:30:41] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:33:42] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:36:43] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:39:44] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:42:45] temp=16.00°C, ip=10.129.8.25
[2026-01-12 18:45:46] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:48:47] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:51:48] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:54:49] temp=15.00°C, ip=10.129.8.25
[2026-01-12 18:57:50] temp=15.00°C, ip=10.129.8.25
[2026-01-12 19:00:53] temp=15.00°C, ip=10.129.8.25
[2026-01-12 19:03:52] temp=15.00°C, ip=10.129.8.25
[2026-01-12 19:06:53] temp=15.00°C, ip=10.129.8.25
[2026-01-12 19:09:54] temp=15.00°C, ip=10.129.8.25
[2026-01-12 19:12:55] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:15:56] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:18:57] temp=15.00°C, ip=10.129.8.25
[2026-01-12 19:21:58] temp=15.00°C, ip=10.129.8.25
[2026-01-12 19:24:59] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:28:00] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:31:01] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:34:02] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:37:03] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:40:04] temp=17.00°C, ip=10.129.8.25
[2026-01-12 19:43:05] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:46:06] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:49:07] temp=17.00°C, ip=10.129.8.25
[2026-01-12 19:52:08] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:55:09] temp=16.00°C, ip=10.129.8.25
[2026-01-12 19:58:10] temp=17.00°C, ip=10.129.8.25
[2026-01-12 20:01:13] temp=18.00°C, ip=10.129.8.25
[2026-01-12 20:04:12] temp=19.00°C, ip=10.129.8.25
[2026-01-12 20:07:13] temp=20.00°C, ip=10.129.8.25
[2026-01-12 20:10:14] temp=21.00°C, ip=10.129.8.25
[2026-01-12 20:13:15] temp=22.00°C, ip=10.129.8.25
[2026-01-12 20:16:16] temp=22.00°C, ip=10.129.8.25
[2026-01-12 20:19:17] temp=23.00°C, ip=10.129.8.25
[2026-01-12 20:22:18] temp=23.00°C, ip=10.129.8.25
[2026-01-12 20:25:19] temp=24.00°C, ip=10.129.8.25
[2026-01-12 20:28:20] temp=24.00°C, ip=10.129.8.25
[2026-01-12 20:31:21] temp=25.00°C, ip=10.129.8.25
[2026-01-12 20:34:22] temp=24.00°C, ip=10.129.8.25
[2026-01-12 20:37:23] temp=24.00°C, ip=10.129.8.25
[2026-01-12 20:40:24] temp=25.00°C, ip=10.129.8.25
[2026-01-12 20:43:25] temp=25.00°C, ip=10.129.8.25
[2026-01-12 20:46:26] temp=26.00°C, ip=10.129.8.25
[2026-01-12 20:49:27] temp=25.00°C, ip=10.129.8.25
[2026-01-12 20:52:28] temp=25.00°C, ip=10.129.8.25
[2026-01-12 20:55:29] temp=25.00°C, ip=10.129.8.25
[2026-01-12 20:58:30] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:01:33] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:04:32] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:07:33] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:10:34] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:13:35] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:16:37] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:19:38] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:22:39] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:25:40] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:28:41] temp=26.00°C, ip=10.129.8.25
[2026-01-12 21:31:42] temp=26.00°C, ip=10.129.8.25
[2026-01-12 21:34:43] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:37:44] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:40:45] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:43:46] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:46:47] temp=26.00°C, ip=10.129.8.25
[2026-01-12 21:49:48] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:52:49] temp=26.00°C, ip=10.129.8.25
[2026-01-12 21:55:50] temp=25.00°C, ip=10.129.8.25
[2026-01-12 21:58:51] temp=24.00°C, ip=10.129.8.25
[2026-01-12 22:01:54] temp=22.00°C, ip=10.129.8.25
[2026-01-12 22:04:53] temp=22.00°C, ip=10.129.8.25
[2026-01-12 22:07:54] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:10:55] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:13:56] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:16:57] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:19:58] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:22:59] temp=20.00°C, ip=10.129.8.25
[2026-01-12 22:26:00] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:29:01] temp=20.00°C, ip=10.129.8.25
[2026-01-12 22:32:02] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:35:03] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:38:04] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:41:05] temp=20.00°C, ip=10.129.8.25
[2026-01-12 22:44:06] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:47:07] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:50:08] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:53:09] temp=21.00°C, ip=10.129.8.25
[2026-01-12 22:56:10] temp=20.00°C, ip=10.129.8.25
[2026-01-12 22:59:11] temp=21.00°C, ip=10.129.8.25
[2026-01-12 23:02:14] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:05:13] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:08:14] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:11:15] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:14:16] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:17:17] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:20:18] temp=16.00°C, ip=10.129.8.25
[2026-01-12 23:23:19] temp=19.00°C, ip=10.129.8.25
[2026-01-12 23:26:20] temp=19.00°C, ip=10.129.8.25
[2026-01-12 23:29:21] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:32:22] temp=21.00°C, ip=10.129.8.25
[2026-01-12 23:35:23] temp=21.00°C, ip=10.129.8.25
[2026-01-12 23:38:24] temp=21.00°C, ip=10.129.8.25
[2026-01-12 23:41:25] temp=21.00°C, ip=10.129.8.25
[2026-01-12 23:44:26] temp=21.00°C, ip=10.129.8.25
[2026-01-12 23:47:27] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:50:28] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:53:29] temp=20.00°C, ip=10.129.8.25
[2026-01-12 23:56:29] temp=21.00°C, ip=10.129.8.25
[2026-01-12 23:59:30] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:02:33] temp=20.00°C, ip=10.129.8.25
[2026-01-13 00:05:32] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:08:33] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:11:34] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:14:35] temp=22.00°C, ip=10.129.8.25
[2026-01-13 00:17:36] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:20:37] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:23:38] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:26:39] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:29:40] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:32:41] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:35:42] temp=21.00°C, ip=10.129.8.25
[2026-01-13 00:38:43] temp=21.00°C, ip=10.129.8.25
